Theta, Dist(mm)(Unclean), 
Theta, Dist(mm)(Unclean), 
Theta, Dist(mm)(Unclean), 
0.340576,164.113,
1.65344,164.113,
3.44971,162.925,
4.74609,162.688,
6.04248,163.163,
7.33887,163.163,
8.63525,163.4,
9.43726,163.875,
10.7446,164.113,
12.03,165.062,
13.3594,165.538,
14.6393,166.488,
15.9357,167.675,
17.2321,168.625,
18.512,169.812,
19.8083,171.475,
21.0938,172.9,
22.3901,174.562,
23.736,0,
25.0323,0,
25.8124,654.787,
26.3342,0,
27.6361,0,
28.8885,531.05,
28.9325,0,
30.2344,0,
30.2344,530.338,
31.4044,538.888,
32.6514,543.875,
32.8326,0,
34.0906,556.938,
36.1395,442.225,
37.4524,430.825,
38.4796,428.688,
42.6379,399.95,
44.5276,0,
45.8295,0,
47.7301,221.113,
48.7134,211.613,
50.8887,206.625,
51.7621,203.775,
53.4979,199.738,
54.7778,196.65,
55.3271,191.9,
57.6233,190,
58.656,194.038,
60.1227,0,
61.2488,198.55,
62.5452,202.35,
64.0228,0,
65.3247,0,
66.6211,0,
67.923,0,
69.2194,0,
70.5212,0,
71.8231,0,
73.1195,0,
74.4214,0,
75.7178,0,
77.3438,152,
78.6511,151.05,
79.9365,150.812,
81.2494,150.575,
82.5458,149.863,
83.8257,149.863,
85.1221,151.525,
86.4185,154.613,
87.4182,0,
88.7146,0,
90.0165,0,
91.3184,0,
92.6147,0,
93.9166,0,
95.213,0,
96.5149,0,
96.9818,717.25,
97.8113,0,
98.2452,720.338,
99.1132,0,
99.4373,725.325,
100.415,0,
100.778,679.013,
101.711,0,
102.25,671.412,
103.683,622.013,
104.996,630.088,
106.672,513,
108.089,504.925,
109.265,501.362,
113.17,545.062,
114.406,542.925,
115.779,532.237,
116.01,0,
117.12,519.412,
117.307,0,
118.592,500.888,
119.839,506.587,
120.938,505.875,
122.344,494.712,
123.651,490.438,
124.997,500.888,
126.156,509.2,
132.902,0,
133.088,801.088,
134.203,0,
134.308,838.612,
135.505,0,
136.802,0,
138.104,0,
138.406,2453.14,
139.719,2414.43,
141.136,1939.9,
142.004,0,
142.432,1992.39,
143.3,0,
143.701,2071.24,
144.602,0,
144.965,2139.64,
146.217,2244.14,
147.53,2219.68,
148.859,2196.64,
150.167,2188.56,
151.573,1769.14,
152.919,1748,
154.232,1720.21,
155.528,1703.59,
156.78,1852.5,
158.027,1892.4,
159.296,2023.74,
160.576,2053.66,
162.059,1689.34,
163.246,1883.38,
164.465,2021.84,
165.811,2018.51,
167.075,2014.95,
168.387,2011.15,
169.7,2009.49,
170.997,2010.91,
172.31,2007.35,
173.622,2009.49,
174.875,2008.78,
176.199,2011.62,
177.468,2011.86,
178.792,2010.44,
180.044,2012.57,
181.357,2022.31,
182.637,2024.21,
184.999,3275.12,
186.295,3280.82,
187.608,3267.29,
188.871,3310.04,
190.184,3297.93,
191.387,0,
192.997,2117.07,
194.277,2138.45,
195.59,2154.6,
196.875,2169.8,
198.171,2198.77,
199.188,0,
199.468,2224.19,
200.764,2249.36,
202.028,2289.26,
203.39,2309.93,
205.56,926.25,
206.966,894.662,
208.339,862.838,
209.702,834.1,
211.031,807.975,
212.388,784.225,
213.734,760.237,
215.107,739.338,
216.48,722.237,
217.716,706.088,
219.172,686.612,
220.435,670.7,
221.792,658.825,
223.171,643.388,
224.451,630.562,
225.857,617.737,
227.186,607.05,
228.527,594.938,
229.905,587.575,
231.218,578.075,
232.498,567.625,
234.031,561.925,
235.278,552.425,
236.651,546.013,
237.81,539.362,
239.183,534.612,
240.496,527.963,
241.809,522.975,
243.309,517.513,
244.545,512.763,
246.028,509.438,
247.28,504.45,
248.604,501.125,
249.824,499.7,
251.186,496.375,
252.389,493.05,
253.965,490.913,
255.295,489.25,
256.421,487.587,
257.794,486.638,
259.03,485.688,
260.37,484.737,
261.843,483.312,
263.073,483.55,
264.276,482.837,
265.622,484.025,
266.874,484.263,
268.281,485.45,
269.434,486.638,
270.89,487.35,
272.263,489.25,
273.389,490.913,
274.796,493.525,
276.092,495.188,
277.355,498.987,
278.531,501.362,
279.701,504.925,
280.948,508.25,
282.404,511.337,
283.749,516.8,
284.919,521.55,
286.155,525.825,
287.435,531.287,
288.715,537.938,
290.105,544.112,
291.187,548.862,
292.527,555.75,
293.714,565.013,
295.153,570.95,
296.296,580.45,
297.653,587.575,
298.779,596.838,
300.108,607.525,
301.371,618.925,
302.531,628.425,
303.904,642.2,
305.057,654.075,
306.436,668.088,
313.391,192.85,
313.995,188.337,
316.23,183.587,
317.28,179.788,
318.576,175.512,
319.872,172.188,
321.169,168.625,
322.465,165.775,
324.261,162.925,
325.574,160.55,
326.854,158.65,
328.156,155.8,
329.453,153.9,
330.859,152.475,
332.172,150.1,
333.468,149.15,
334.781,147.25,
336.061,146.3,
337.39,145.35,
338.67,144.637,
339.983,143.45,
341.296,142.5,
342.592,143.688,
343.444,0,
344.745,0,
346.047,0,
347.344,0,
348.646,0,
349.942,0,
351.244,0,
352.513,165.062,
353.793,164.587,
355.078,164.35,
356.385,164.35,
357.687,164.35,
359.044,163.637,
Theta, Dist(mm)(Unclean), 
Theta, Dist(mm)(Unclean), 
0.296631,164.113,
2.0929,0,
3.38928,162.925,
4.70215,162.212,
5.98206,162.925,
7.27844,163.163,
8.59131,163.4,
9.4043,163.875,
10.7007,164.113,
11.9806,165.062,
13.277,165.538,
14.5898,166.488,
15.8862,167.675,
17.1991,168.387,
18.468,169.812,
19.7644,171.475,
21.0773,172.9,
22.3737,174.562,
24.1864,0,
25.4828,0,
25.8124,655.263,
26.7847,0,
28.0865,0,
28.8391,521.312,
29.3829,0,
30.2618,530.575,
30.6848,0,
31.3715,536.75,
32.7448,543.875,
33.2831,0,
33.9972,556.463,
36.0297,441.987,
37.4194,431.062,
38.8257,428.925,
42.7148,398.05,
44.978,0,
46.2799,0,
46.8567,223.488,
49.6857,211.375,
50.9656,206.387,
52.2784,203.538,
53.5913,199.5,
54.8712,194.988,
55.437,193.087,
57.464,193.325,
58.7769,193.8,
60.4962,197.363,
60.5731,0,
61.6388,197.363,
63.4021,200.688,
65.7751,0,
67.0715,0,
68.3734,0,
69.6698,0,
70.9717,0,
72.2736,0,
73.5699,0,
74.8718,0,
76.1682,0,
77.4976,151.05,
78.772,0,
80.0684,0,
81.4197,150.337,
82.7161,149.625,
84.0125,149.863,
85.3088,150.337,
86.6217,151.05,
87.8687,0,
89.165,0,
90.4669,0,
91.7688,0,
93.0652,0,
94.3671,0,
95.6635,0,
95.7788,725.088,
96.9653,0,
97.0312,716.775,
98.2617,0,
98.3112,720.338,
99.5636,0,
99.5746,727.225,
100.865,0,
101.184,670.463,
102.31,671.175,
103.903,621.775,
105.183,630.088,
106.826,513,
108.215,504.688,
109.688,501.837,
110.858,510.625,
111.824,555.275,
113.187,544.588,
114.434,543.162,
115.889,528.675,
117.169,518.938,
118.608,501.125,
119.932,506.112,
121.245,505.638,
122.531,494.712,
123.92,490.438,
125.233,501.362,
126.293,509.675,
133.215,802.275,
133.352,0,
134.511,838.375,
134.654,0,
135.956,0,
137.252,0,
138.543,2452.66,
138.554,0,
139.856,2412.76,
141.295,1942.99,
142.454,0,
142.559,1991.44,
143.751,0,
143.839,2088.1,
145.052,0,
145.091,2169.32,
146.404,2246.27,
147.717,2229.41,
148.964,2202.34,
150.469,1791.7,
151.716,1776.26,
153.078,1747.76,
154.374,1720.21,
155.687,1704.06,
156.918,1861.53,
158.17,1902.85,
159.434,2055.56,
160.746,2067.91,
162.12,1728.53,
163.372,1916.15,
164.652,2039.65,
165.921,2034.9,
167.234,2015.66,
168.53,2009.96,
169.827,2008.54,
171.09,2020.65,
172.419,2008.54,
173.699,2000.22,
175.029,2006.64,
176.292,2010.91,
177.589,2013.29,
178.951,2010.91,
180.214,2013.05,
181.511,2034.19,
182.823,2018.28,
185.169,3306.71,
186.465,3317.64,
187.778,3305.52,
189.075,3326.43,
190.371,3332.12,
191.838,0,
193.184,2118.74,
194.48,2151.51,
195.765,2163.86,
197.045,2185.95,
198.358,2199.01,
199.638,0,
199.655,2232.98,
200.951,2251.02,
202.214,2277.15,
203.467,2310.64,
205.593,926.25,
207.043,893.95,
208.295,862.362,
209.636,834.1,
211.124,807.5,
212.421,783.75,
213.734,760.713,
215.046,739.575,
216.513,721.763,
217.87,705.85,
219.089,686.375,
220.435,670.7,
221.748,658.35,
223.215,643.15,
224.495,630.8,
225.89,617.737,
227.23,606.812,
228.609,597.55,
230.026,587.1,
231.218,578.075,
232.592,567.862,
233.937,561.688,
235.327,552.9,
236.607,545.775,
238.074,539.125,
239.387,534.138,
240.667,527.725,
242.062,522.737,
243.325,517.275,
244.715,513,
245.901,509.438,
247.247,504.688,
248.483,500.888,
249.807,499.462,
251.12,496.375,
252.636,493.05,
253.998,490.913,
255.234,489.013,
256.608,487.587,
257.921,486.638,
259.14,485.45,
260.37,484.5,
261.777,483.075,
263.106,483.075,
264.512,482.6,
265.578,483.788,
266.902,484.025,
268.154,484.975,
269.621,486.638,
270.857,487.35,
272.247,489.25,
273.417,490.675,
274.719,493.288,
275.905,495.188,
277.169,498.987,
278.481,501.362,
279.855,504.45,
281.277,508.013,
282.453,511.812,
283.683,516.8,
284.936,521.312,
286.139,525.35,
287.496,531.05,
288.765,537.463,
289.951,543.638,
291.215,548.625,
